Mov_id,Loc_id
47,1
48,1
66,1
87,1
99,1
116,1
117,1
134,1
136,1
143,1
166,1
184,1
189,1
190,1
206,1
239,1
244,1
245,1
263,1
286,1
287,1
301,1
309,1
313,1
326,1
343,1
362,1
364,1
385,1
392,1
398,1
404,1
446,1
449,1
453,1
467,1
470,1
472,1
478,1
496,1
545,1
560,1
571,1
579,1
581,1
582,1
588,1
594,1
596,1
598,1
610,1
611,1
615,1
616,1
631,1
634,1
652,1
658,1
668,1
678,1
693,1
705,1
706,1
712,1
716,1
719,1
720,1
729,1
741,1
744,1
745,1
756,1
759,1
766,1
769,1
774,1
787,1
792,1
793,1
831,1
834,1
841,1
862,1
888,1
896,1
936,1
945,1
946,1
947,1
950,1
955,1
956,1
958,1
959,1
960,1
961,1
984,1
1022,1
1023,1
1025,1
1029,1
1032,1
1033,1
1054,1
1064,1
1067,1
1102,1
1138,1
1139,1
1140,1
1144,1
1147,1
1148,1
1150,1
1169,1
1189,1
1192,1
1223,1
1274,1
1277,1
1280,1
1301,1
1322,1
1324,1
1325,1
1328,1
1331,1
1367,1
1384,1
1444,1
1471,1
1489,1
1496,1
1503,1
1514,1
1543,1
1545,1
1555,1
1566,1
1568,1
1570,1
1575,1
1591,1
1640,1
1648,1
1649,1
1652,1
1662,1
1666,1
1679,1
1684,1
1692,1
1709,1
1710,1
1716,1
1734,1
1742,1
1743,1
1749,1
1752,1
1757,1
1773,1
1780,1
1781,1
1782,1
1789,1
1796,1
1809,1
1850,1
1856,1
1865,1
1876,1
1886,1
1894,1
1903,1
1904,1
1907,1
1910,1
1926,1
1928,1
1930,1
1932,1
1934,1
1936,1
1970,1
2018,1
2030,1
2031,1
2048,1
2049,1
2061,1
2079,1
2080,1
2081,1
2089,1
2090,1
2092,1
2095,1
2096,1
2102,1
2123,1
2138,1
2139,1
2141,1
2142,1
2158,1
2189,1
2192,1
2201,1
2210,1
2214,1
2233,1
2251,1
2258,1
2270,1
2284,1
2286,1
2294,1
2304,1
2354,1
2355,1
2365,1
2373,1
2394,1
2397,1
2419,1
2449,1
2461,1
2465,1
2492,1
2495,1
2499,1
2503,1
2509,1
2526,1
2538,1
2544,1
2545,1
2557,1
2566,1
2576,1
2578,1
2604,1
2619,1
2621,1
2624,1
2639,1
2649,1
2653,1
2659,1
2669,1
2685,1
2687,1
2697,1
2700,1
2705,1
2742,1
2761,1
2780,1
2781,1
2785,1
2800,1
2809,1
2810,1
2811,1
2813,1
2843,1
2855,1
2856,1
2869,1
2892,1
2894,1
2899,1
2910,1
2923,1
2924,1
2934,1
2940,1
